"subject","condition","cond_order","rating","frequency","duration","delay"
"33","LongerDelay",7,4,"36","1350","3"
"33","More",8,3,"108","450","0"
"33","NoneDelay",9,-1,"0","0","3"
"33","None",10,0,"0","0","0"
"33","MoreDelay",11,0,"108","450","3"
"33","Longer",12,0,"36","1350","0"
"34","BaselineDelay",1,5,"36","450","3"
"34","MoreDelay",2,-1,"108","450","3"
"34","JumboLonger",3,6,"36","4050","0"
"34","NoneDelay",4,6,"0","0","3"
"34","LongerDelay",5,2,"36","1350","3"
"34","Longer",6,5,"36","1350","0"
"34","JumboLongDelay",7,2,"36","4050","3"
"34","Baseline",8,1,"36","450","0"
"34","More",9,9,"108","450","0"
"34","None",10,5,"0","0","0"
"34","JumboMoreDelay",11,5,"324","450","3"
"34","JumboMore",12,8,"324","450","0"
"35","Baseline",1,1,"36","450","0"
"35","BaselineDelay",2,0,"36","450","3"
"35","JumboLongDelay",3,6,"36","4050","3"
"35","NoneDelay",4,-5,"0","0","3"
"35","JumboLonger",5,-6,"36","4050","0"
"35","MoreDelay",6,-7,"108","450","3"
"35","JumboMoreDelay",7,-7,"324","450","3"
"35","None",8,4,"0","0","0"
"35","Longer",9,-1,"36","1350","0"
"35","More",10,0,"108","450","0"
"35","LongerDelay",11,1,"36","1350","3"
"35","JumboMore",12,-8,"324","450","0"
"36","JumboLongDelay",1,3,"36","4050","3"
"36","NoneDelay",2,5,"0","0","3"
"36","Baseline",3,-2,"36","450","0"
"36","JumboMore",4,6,"324","450","0"
"36","LongerDelay",5,-1,"36","1350","3"
"36","JumboLonger",6,-2,"36","4050","0"
"36","None",7,-4,"0","0","0"
"36","JumboMoreDelay",8,6,"324","450","3"
"36","Longer",9,0,"36","1350","0"
"36","MoreDelay",10,3,"108","450","3"
"36","More",11,2,"108","450","0"
"36","BaselineDelay",12,2,"36","450","3"
"37","JumboLonger",1,-3,"36","4050","0"
"37","None",2,6,"0","0","0"
"37","JumboMore",3,0,"324","450","0"
"37","BaselineDelay",4,7,"36","450","3"
"37","MoreDelay",5,0,"108","450","3"
"37","NoneDelay",6,4,"0","0","3"
"37","JumboMoreDelay",7,-1,"324","450","3"
"37","JumboLongDelay",8,2,"36","4050","3"
"37","Baseline",9,-1,"36","450","0"
"37","More",10,-2,"108","450","0"
"37","LongerDelay",11,3,"36","1350","3"
"37","Longer",12,1,"36","1350","0"
"38","LongerDelay",1,8,"36","1350","3"
"38","JumboMore",2,-9,"324","450","0"
"38","MoreDelay",3,-3,"108","450","3"
"38","Baseline",4,5,"36","450","0"
"38","JumboLongDelay",5,1,"36","4050","3"
"38","JumboLonger",6,2,"36","4050","0"
"38","BaselineDelay",7,6,"36","450","3"
"38","More",8,-5,"108","450","0"
"38","Longer",9,3,"36","1350","0"
"38","None",10,5,"0","0","0"
"38","JumboMoreDelay",11,-7,"324","450","3"
"38","NoneDelay",12,3,"0","0","3"
"39","JumboLongDelay",1,3,"36","4050","3"
"39","MoreDelay",2,6,"108","450","3"
"39","LongerDelay",3,4,"36","1350","3"
"39","Longer",4,5,"36","1350","0"
"39","JumboLonger",5,2,"36","4050","0"
"39","More",6,4,"108","450","0"
"39","None",7,-1,"0","0","0"
"39","NoneDelay",8,2,"0","0","3"
"39","JumboMore",9,9,"324","450","0"
"39","JumboMoreDelay",10,9,"324","450","3"
